policy_id,claim_date,peril,region,claim_amount,premium,loss_year
POL-602276,2020-06-12,theft,DE-BAY,280032.31,5000.0,2020
POL-804025,2023-11-15,theft,NL-NH,22195.18,5000.0,2023
POL-016525,2023-04-10,water_damage,DE-NRW,9624.17,2301.8,2023
POL-808631,2022-03-12,fire,NL-ZH,8865.12,1608.93,2022
POL-930086,2022-03-02,fire,BE-WAL,18437.1,5000.0,2022
POL-875935,2024-04-17,theft,BE-VLG,12504.17,3226.75,2024
POL-868570,2020-06-06,flood,BE-WAL,7431.19,5000.0,2020
POL-220212,2023-06-28,storm,NL-ZH,10938.23,2214.35,2023
POL-633229,2021-01-03,theft,FR-IDF,1781.16,2720.06,2021
POL-661713,2020-06-21,storm,DE-BAY,31690.38,691.61,2020
POL-965687,2022-08-19,storm,NL-ZH,47680.74,5000.0,2022
POL-203229,2024-11-17,theft,BE-VLG,30151.68,3079.51,2024
POL-836394,2023-09-06,storm,DE-BAY,8598.58,2225.43,2023
POL-225258,2023-10-22,fire,NL-NH,20183.94,4018.15,2023
POL-329500,2023-08-03,liability,DE-BAY,21411.31,4989.35,2023
POL-167403,2023-12-07,liability,BE-WAL,9138.06,5000.0,2023
POL-959807,2022-07-26,flood,NL-NH,52112.48,5000.0,2022
POL-652614,2020-08-22,fire,NL-NH,35825.14,3935.86,2020
POL-498251,2024-03-14,liability,BE-WAL,43618.99,5000.0,2024
POL-982661,2022-04-02,liability,NL-ZH,19428.22,1370.56,2022
POL-757503,2022-07-03,storm,BE-VLG,2155.42,3878.83,2022
POL-098830,2021-11-08,flood,BE-BRU,908.05,307.92,2021
POL-890407,2020-11-29,flood,BE-VLG,7271.39,3090.52,2020
POL-714528,2024-08-20,water_damage,NL-NH,,5000.0,2024
POL-425723,2023-11-28,fire,BE-BRU,12103.83,3478.2,2023
POL-964512,2023-03-22,UNKNOWN,BE-WAL,3273.52,640.98,2023
POL-352206,2022-01-05,storm,DE-BAY,3302.17,601.56,2022
POL-298026,2024-02-12,liability,NL-NH,1131.35,1473.8,2024
POL-219547,2022-09-23,theft,NL-ZH,2483.42,1246.24,2022
POL-810444,2022-03-21,storm,DE-BAY,7634.34,1176.58,2022
POL-769043,2022-04-02,water_damage,BE-VLG,6408.32,799.09,2022
POL-821442,2021-02-19,storm,BE-VLG,45413.25,2652.51,2021
POL-294850,2020-06-17,storm,NL-NH,8840.31,2111.4,2020
POL-989981,2022-10-10,theft,BE-VLG,1902.85,5000.0,2022
POL-424039,2024-06-10,fire,NL-NH,9261.43,702.65,2024
POL-274499,2020-04-26,water_damage,DE-NRW,23060.89,475.31,2020
POL-571295,2024-04-17,fire,BE-VLG,763.19,482.98,2024
POL-570558,2024-02-21,theft,BE-WAL,56136.94,3035.19,2024
POL-190156,2021-05-20,theft,DE-NRW,21691.66,2220.34,2021
POL-218256,2023-02-28,storm,NL-ZH,70025.51,2277.41,2023
POL-455927,2020-10-28,storm,FR-IDF,23122.97,5000.0,2020
POL-236237,2023-10-17,liability,BE-VLG,7809.57,1149.44,2023
POL-049902,2023-07-03,fire,DE-BAY,12130.97,3170.59,2023
POL-298831,2021-10-09,flood,DE-NRW,7317.74,5000.0,2021
POL-876960,2020-05-04,fire,FR-IDF,35351.73,3226.99,2020
POL-826911,2024-11-08,water_damage,BE-VLG,5127.14,694.5,2024
POL-152672,2022-03-25,flood,NL-ZH,,2014.43,2022
POL-624980,2024-06-19,water_damage,NL-NH,,2070.8,2024
POL-420762,2023-05-23,fire,NL-ZH,17220.66,3973.87,2023
POL-754008,2023-11-23,storm,BE-BRU,14400.12,2367.02,2023
POL-958511,20/10/2023,liability,NL-NH,21717.94,3191.0,2023
POL-387882,2020-12-21,storm,BE-BRU,5775.14,987.07,2020
POL-217846,2021-10-26,liability,BE-WAL,971.05,630.79,2021
POL-198988,2022-05-02,storm,DE-NRW,4010.24,1521.6,2022
POL-073988,2022-06-28,storm,NL-NH,5154.9,2085.98,2022
POL-827188,2020-03-21,flood,DE-NRW,19775.61,741.45,2020
POL-284372,2022-09-25,water_damage,BE-BRU,,868.93,2022
POL-013892,2020-10-08,liability,DE-BAY,5220.75,434.91,2020
POL-639591,2023-09-20,flood,BE-BRU,32690.58,5000.0,2023
